Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1961,1961,No.,55000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1962,1962,No.,57000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1963,1963,No.,57000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1964,1964,No.,61000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1965,1965,No.,63000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1966,1966,No.,65300.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1967,1967,No.,67300.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1968,1968,No.,69400.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1969,1969,No.,71400.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1970,1970,No.,73500.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1971,1971,No.,75500.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1972,1972,No.,78000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1973,1973,No.,80000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1974,1974,No.,80000.0,E,Valor estimado,
QCL,Cultivos y productos de ganadería,170,Colombia,5114,Existencias,02196,Abejas,1975,1975,No.,82607.0,A,Valor oficial,
